[00:47:21] [INFO] received Windows console close event; shutting log-core down
[00:53:52] [INFO] received Windows console close event; shutting log-core down
[01:08:31] [INFO] received Windows console close event; shutting log-core down
[04:06:36] [INFO] received Windows console close event; shutting log-core down
[04:17:22] [INFO] received Windows console close event; shutting log-core down
[11:49:19] [INFO] received Windows console close event; shutting log-core down
[11:50:30] [INFO] received Windows console close event; shutting log-core down
[12:10:21] [INFO] received Windows console close event; shutting log-core down
[12:32:01] [INFO] received Windows console close event; shutting log-core down
[12:33:35] [INFO] received Windows console close event; shutting log-core down
[15:35:47] [INFO] received Windows console close event; shutting log-core down
[15:36:31] [INFO] received Windows console close event; shutting log-core down
[15:36:39] [INFO] received Windows console close event; shutting log-core down
[15:37:50] [INFO] received Windows console close event; shutting log-core down
[15:58:19] [INFO] received Windows console close event; shutting log-core down
[16:06:01] [INFO] received Windows console close event; shutting log-core down
[16:06:32] [INFO] received Windows console close event; shutting log-core down
[16:07:41] [INFO] received Windows console close event; shutting log-core down
[16:18:54] [INFO] received Windows console close event; shutting log-core down
[16:20:04] [INFO] received Windows console close event; shutting log-core down
[16:20:50] [INFO] received Windows console close event; shutting log-core down
[16:20:57] [INFO] received Windows console close event; shutting log-core down
[16:25:49] [INFO] received Windows console close event; shutting log-core down
[23:48:01] [INFO] received Windows console close event; shutting log-core down
[23:53:03] [INFO] received Windows console close event; shutting log-core down
[00:03:22] [INFO] received Windows console close event; shutting log-core down
[00:15:35] [INFO] received Windows console close event; shutting log-core down
[16:50:55] [INFO] received Windows console close event; shutting log-core down
[17:14:51] [INFO] received Windows console close event; shutting log-core down
[17:18:01] [INFO] received Windows console close event; shutting log-core down
[17:24:50] [INFO] received Windows console close event; shutting log-core down
[17:40:40] [INFO] received Windows console close event; shutting log-core down
[18:41:04] [INFO] received Windows console close event; shutting log-core down
[01:47:14] [INFO] received Windows console close event; shutting log-core down
[02:00:18] [INFO] received Windows console close event; shutting log-core down
[11:19:19] [INFO] received Windows console close event; shutting log-core down
[18:52:42] [INFO] received Windows console close event; shutting log-core down
[19:12:48] [INFO] received Windows console close event; shutting log-core down
[19:18:32] [INFO] received Windows console close event; shutting log-core down
[22:49:59] [INFO] received Windows console close event; shutting log-core down
[00:46:03] [INFO] received Windows console close event; shutting log-core down
[00:59:54] [INFO] received Windows console close event; shutting log-core down
[14:20:12] [INFO] received Windows console close event; shutting log-core down
[14:22:12] [INFO] received Windows console close event; shutting log-core down
[14:26:47] [INFO] received Windows console close event; shutting log-core down
[17:34:03] [INFO] received Windows console close event; shutting log-core down
[17:44:10] [INFO] received Windows console close event; shutting log-core down
[17:53:36] [INFO] received Windows console close event; shutting log-core down
[17:54:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:03:25] [INFO] received Windows console close event; shutting log-core down
[13:33:09] [INFO] received Windows console close event; shutting log-core down
[15:09:18] [INFO] received Windows console close event; shutting log-core down
[18:43:45] [INFO] received Windows console close event; shutting log-core down
[18:45:32] [INFO] received Windows console close event; shutting log-core down
[18:48:17] [INFO] received Windows console close event; shutting log-core down
[18:49:29] [INFO] received Windows console close event; shutting log-core down
[18:51:04] [INFO] received Windows console close event; shutting log-core down
[09:09:13] [INFO] received Windows console close event; shutting log-core down
[09:11:17] [INFO] received Windows console close event; shutting log-core down
[09:13:09] [INFO] received Windows console close event; shutting log-core down
[21:21:41] [INFO] received Windows console close event; shutting log-core down
[01:49:26] [INFO] received Windows console close event; shutting log-core down
[02:05:21] [INFO] received Windows console close event; shutting log-core down
[02:22:17] [INFO] received Windows console close event; shutting log-core down
[02:30:11] [INFO] received Windows console close event; shutting log-core down
[16:41:55] [INFO] received Windows console close event; shutting log-core down
[16:48:51] [INFO] received Windows console close event; shutting log-core down
[16:52:28] [INFO] received Windows console close event; shutting log-core down
[16:55:21] [INFO] received Windows console close event; shutting log-core down
[16:56:43] [INFO] received Windows console close event; shutting log-core down
[12:06:03] [INFO] received Windows console close event; shutting log-core down
[12:07:01] [INFO] received Windows console close event; shutting log-core down
[12:41:35] [INFO] received Windows console close event; shutting log-core down
[13:57:37] [INFO] received Windows console close event; shutting log-core down
[14:14:11] [INFO] received Windows console close event; shutting log-core down
[14:15:46] [INFO] received Windows console close event; shutting log-core down
[23:46:50] [INFO] received Windows console close event; shutting log-core down
[23:50:14] [INFO] received Windows console close event; shutting log-core down
[00:20:17] [INFO] received Windows console close event; shutting log-core down
[00:33:53] [INFO] received Windows console close event; shutting log-core down
[20:19:17] [INFO] received Windows console close event; shutting log-core down
[20:41:25] [INFO] received Windows console close event; shutting log-core down
[21:44:14] [INFO] received Windows console close event; shutting log-core down
[21:45:18] [INFO] received Windows console close event; shutting log-core down
[21:46:31] [INFO] received Windows console close event; shutting log-core down
[22:13:15] [INFO] received Windows console close event; shutting log-core down
[23:19:49] [INFO] received Windows console close event; shutting log-core down
[01:32:14] [INFO] received Windows console close event; shutting log-core down
[23:18:25] [INFO] received Windows console close event; shutting log-core down
[23:36:11] [INFO] received Windows console close event; shutting log-core down
[00:02:36] [INFO] received Windows console close event; shutting log-core down
[00:21:01] [INFO] received Windows console close event; shutting log-core down
[20:55:14] [INFO] received Windows console close event; shutting log-core down
[20:59:13] [INFO] received Windows console close event; shutting log-core down
[21:08:14] [INFO] received Windows console close event; shutting log-core down
[21:13:10] [INFO] received Windows console close event; shutting log-core down
[21:15:43] [INFO] received Windows console close event; shutting log-core down
[00:29:28] [INFO] received Windows console close event; shutting log-core down
[00:35:09] [INFO] received Windows console close event; shutting log-core down
[00:35:29] [INFO] received Windows console close event; shutting log-core down
[00:37:22] [INFO] received Windows console close event; shutting log-core down
[23:50:51] [INFO] received Windows console close event; shutting log-core down
[00:14:04] [INFO] received Windows console close event; shutting log-core down
[00:42:27] [INFO] received Windows console close event; shutting log-core down
[15:45:54] [INFO] received Windows console close event; shutting log-core down
[01:24:07] [INFO] received Windows console close event; shutting log-core down
[01:39:40] [INFO] received Windows console close event; shutting log-core down
[01:39:56] [INFO] received Windows console close event; shutting log-core down
[01:44:00] [INFO] received Windows console close event; shutting log-core down
[11:16:20] [INFO] received Windows console close event; shutting log-core down
[11:17:49] [INFO] received Windows console close event; shutting log-core down
[11:21:54] [INFO] received Windows console close event; shutting log-core down
[11:27:41] [INFO] received Windows console close event; shutting log-core down
[11:34:42] [INFO] received Windows console close event; shutting log-core down
[12:12:40] [INFO] received Windows console close event; shutting log-core down
[12:23:02] [INFO] received Windows console close event; shutting log-core down
[12:23:03] [INFO] received Windows console close event; shutting log-core down
[12:23:46] [INFO] received Windows console close event; shutting log-core down
[12:24:07] [INFO] received Windows console close event; shutting log-core down
[12:24:16] [INFO] received Windows console close event; shutting log-core down
[12:27:38] [INFO] received Windows console close event; shutting log-core down
[12:29:18] [INFO] received Windows console close event; shutting log-core down
[12:29:29] [INFO] received Windows console close event; shutting log-core down
[12:52:55] [INFO] received Windows console close event; shutting log-core down
[13:18:10] [INFO] received Windows console close event; shutting log-core down
[13:37:28] [INFO] received Windows console close event; shutting log-core down
[13:39:41] [INFO] received Windows console close event; shutting log-core down
[14:58:08] [INFO] received Windows console close event; shutting log-core down
[15:06:36] [INFO] received Windows console close event; shutting log-core down
[23:31:35] [INFO] received Windows console close event; shutting log-core down
[08:32:27] [INFO] received Windows console close event; shutting log-core down
[17:22:55] [INFO] received Windows console close event; shutting log-core down
[17:26:18] [INFO] received Windows console close event; shutting log-core down
[17:41:59] [INFO] received Windows console close event; shutting log-core down
[19:57:34] [INFO] received Windows console close event; shutting log-core down
[19:29:51] [INFO] received Windows console close event; shutting log-core down
[11:41:09] [INFO] received Windows console close event; shutting log-core down
